Sample,X,Y,Z
0,-0.016,-0.012,0.992
1,-0.004,-0.016,0.988
2,-0.008,-0.016,0.996
3,-0.008,-0.012,1.000
4,-0.004,-0.016,0.988
5,0.000,-0.012,0.992
6,-0.004,-0.016,0.992
7,-0.012,-0.008,0.992
8,-0.008,-0.012,0.992
9,-0.008,-0.012,0.988
10,-0.016,-0.008,0.996
11,-0.008,-0.012,0.988
12,-0.012,-0.008,0.988
13,-0.008,-0.008,0.992
14,-0.012,-0.012,0.996
15,-0.012,-0.012,1.000
16,-0.004,-0.008,1.000
17,-0.008,-0.020,1.004
18,-0.004,-0.012,1.000
19,-0.004,-0.023,1.000
20,0.000,-0.016,0.996
21,0.000,-0.016,0.996
22,-0.004,-0.020,1.004
23,-0.004,-0.012,0.992
24,-0.004,-0.012,0.992
25,-0.016,-0.008,0.988
26,-0.016,-0.016,1.004
27,-0.012,-0.016,0.992
28,-0.008,-0.016,0.996
29,-0.008,-0.012,0.992
30,-0.008,-0.008,1.000
31,-0.008,-0.012,0.992
32,0.000,-0.016,0.992
33,-0.004,-0.012,1.000
34,0.000,-0.020,1.004
35,-0.008,-0.008,1.000
36,-0.004,-0.016,1.008
37,-0.008,-0.012,1.000
38,-0.004,-0.012,1.004
39,-0.004,-0.016,0.992
40,-0.004,-0.012,0.992
41,-0.004,-0.008,0.988
42,-0.008,-0.012,0.992
43,-0.004,-0.008,1.000
44,-0.008,-0.012,0.992
45,-0.008,-0.012,0.992
46,-0.004,-0.012,0.996
47,-0.004,-0.016,0.996
48,-0.004,-0.016,1.000
49,0.008,-0.020,1.004
50,-0.004,-0.016,0.961
51,0.000,-0.012,0.996
52,-0.004,-0.016,0.996
53,-0.004,-0.016,1.000
54,-0.008,-0.012,1.000
55,0.000,-0.012,0.992
56,-0.004,-0.008,0.988
57,-0.008,-0.012,0.992
58,-0.008,-0.008,0.988
59,-0.008,-0.008,0.992
60,-0.004,-0.008,0.988
61,-0.004,-0.016,1.000
62,0.000,-0.016,0.984
63,-0.008,-0.012,0.984
64,-0.004,-0.012,1.000
65,0.000,-0.012,1.000
66,-0.008,-0.012,1.000
67,-0.004,-0.012,1.004
68,-0.004,-0.004,1.000
69,0.000,-0.008,1.000
70,-0.004,-0.016,0.988
71,0.000,-0.008,0.992
72,0.000,-0.012,0.996
73,0.000,-0.023,1.004
74,-0.004,-0.008,0.988
75,-0.004,-0.012,0.988
76,-0.008,-0.012,0.992
77,-0.004,-0.012,0.996
78,-0.008,-0.020,1.000
79,-0.004,-0.012,0.992
80,-0.004,-0.012,0.996
81,0.000,-0.016,1.004
82,-0.004,-0.012,1.000
83,-0.004,-0.016,1.000
84,0.000,-0.016,0.996
85,-0.008,-0.012,0.996
86,-0.012,-0.012,0.992
87,0.000,-0.004,0.988
88,-0.008,-0.008,1.000
89,-0.012,-0.008,0.988
90,-0.008,-0.012,0.988
91,-0.004,-0.012,1.000
92,-0.004,-0.004,0.996
93,-0.012,-0.012,0.988
94,0.023,-0.066,0.980
95,0.059,-0.062,1.016
96,0.090,-0.008,1.062
97,0.160,0.004,1.039
98,0.250,-0.039,0.980
99,0.371,-0.039,0.938
100,0.395,0.090,0.969
101,0.469,0.016,0.957
102,0.543,-0.207,0.945
103,0.625,-0.164,1.051
104,0.621,0.133,1.090
105,0.570,0.270,0.957
106,0.523,0.031,0.855
107,0.582,-0.449,0.855
108,0.328,-0.289,1.199
109,0.355,0.379,1.305
110,0.598,0.289,0.855
111,0.234,0.133,0.828
112,0.781,-0.645,0.828
113,0.172,-0.469,1.086
114,-0.047,0.562,1.352
115,0.117,0.586,1.160
116,0.555,-0.199,0.594
117,0.094,-0.625,0.691
118,0.109,-0.012,1.188
119,-0.695,0.465,1.242
120,0.258,0.176,1.152
121,-0.090,-0.203,0.895
