Sample,X,Y,Z
0,-0.129,0.188,1.062
1,-0.012,-0.008,0.996
2,-0.008,-0.008,0.988
3,-0.008,-0.012,0.996
4,-0.012,-0.012,0.996
5,-0.008,-0.012,1.000
6,-0.004,-0.012,1.004
7,-0.008,-0.012,1.000
8,0.004,-0.016,1.000
9,0.004,-0.023,0.996
10,0.000,-0.023,0.996
11,0.000,-0.023,0.992
12,0.000,-0.016,0.996
13,-0.004,-0.020,0.992
14,-0.004,-0.012,0.992
15,-0.008,-0.004,0.984
16,-0.004,-0.008,0.992
17,-0.008,-0.004,0.988
18,-0.020,0.000,0.988
19,-0.016,-0.004,0.984
20,-0.016,-0.012,0.996
21,-0.020,-0.012,0.996
22,-0.008,-0.012,0.992
23,-0.004,-0.020,0.996
24,-0.008,-0.016,1.004
25,0.004,-0.023,0.992
26,0.000,-0.023,1.000
27,0.000,-0.016,0.992
28,0.000,-0.012,1.004
29,-0.004,-0.004,1.000
30,-0.012,-0.012,0.996
31,-0.008,-0.008,0.996
32,-0.008,-0.004,0.988
33,-0.012,-0.008,0.996
34,-0.008,-0.012,0.992
35,-0.008,-0.008,0.992
36,-0.012,-0.008,0.996
37,-0.004,-0.016,0.988
38,-0.008,-0.020,0.992
39,0.004,-0.023,0.996
40,0.004,-0.020,1.000
41,-0.012,-0.020,0.992
42,0.000,-0.023,1.000
43,-0.004,-0.008,1.000
44,-0.008,-0.016,0.996
45,0.000,-0.012,0.996
46,-0.004,-0.012,0.996
47,-0.016,-0.008,0.992
48,-0.016,-0.008,1.016
49,-0.012,-0.008,1.004
50,-0.004,-0.012,0.992
51,-0.008,-0.012,0.996
52,-0.004,-0.016,1.004
53,-0.008,-0.020,1.000
54,0.000,-0.020,0.992
55,0.000,-0.020,1.000
56,-0.008,-0.023,0.992
57,-0.004,-0.023,0.996
58,0.000,-0.012,1.000
59,-0.012,-0.008,0.992
60,-0.008,-0.008,0.992
61,-0.012,-0.012,0.992
62,-0.004,-0.008,0.984
63,-0.016,-0.008,0.996
64,-0.008,-0.008,0.996
65,-0.008,0.000,0.996
66,-0.004,-0.020,1.004
67,-0.016,-0.023,0.992
68,-0.008,-0.012,0.988
69,-0.008,-0.016,1.004
70,-0.004,-0.023,1.000
71,-0.008,-0.023,0.996
72,0.000,-0.016,1.008
73,0.008,-0.023,1.035
74,-0.004,-0.012,0.996
75,-0.004,-0.016,0.992
76,-0.008,-0.012,0.988
77,-0.008,-0.004,0.984
78,-0.012,-0.004,0.988
79,-0.012,-0.008,0.984
80,-0.004,-0.016,0.992
81,-0.004,-0.012,0.996
82,-0.004,-0.012,1.000
83,-0.008,-0.016,0.992
84,-0.008,-0.016,0.992
85,-0.004,-0.012,0.992
86,-0.008,-0.012,1.004
87,-0.004,-0.027,0.992
88,0.000,-0.023,0.996
89,-0.004,-0.008,0.988
90,0.023,0.094,1.012
91,-0.012,0.262,0.992
92,-0.051,0.293,0.953
93,-0.039,0.207,0.980
94,-0.082,0.211,1.016
95,-0.082,0.371,1.020
96,-0.082,0.371,1.020
97,-0.043,0.508,0.996
98,0.094,0.449,0.930
99,0.066,0.371,0.941
100,0.059,0.430,0.984
101,-0.105,0.391,0.961
102,-0.102,0.277,1.016
103,-0.105,0.125,1.090
104,0.051,0.164,1.055
105,0.156,0.438,1.066
106,0.059,0.324,0.801
107,0.277,-0.270,0.629
108,-0.031,-0.379,1.090
109,-0.027,0.207,1.441
110,-0.164,0.605,1.094
111,0.133,0.316,0.625
112,0.293,-0.234,0.734
113,-0.484,-0.180,1.285
114,-0.160,0.160,1.305
115,-0.141,0.684,1.129
116,0.293,1.008,0.977
117,0.387,0.387,0.473
118,0.129,-0.453,0.590
119,-0.391,-0.172,1.273
120,-0.230,0.672,1.418
121,-0.109,1.098,1.340
122,0.176,0.531,0.504
123,0.562,-0.250,0.363
124,-0.484,-0.508,1.043
125,-0.281,0.148,1.496
126,-0.043,0.699,1.363
127,-0.188,0.719,1.035
128,0.777,-0.051,0.445
129,0.098,-0.680,0.648
130,-0.156,-0.074,1.168
131,-0.508,0.629,1.473
132,0.234,0.574,1.203
133,0.172,0.332,0.797
134,0.234,0.027,0.672
135,-0.242,-0.230,0.902
136,-0.090,0.316,1.215
137,-0.020,0.820,1.332
138,0.000,0.625,0.863
139,0.531,0.199,0.496
140,-0.090,-0.113,0.836
141,-0.371,0.059,1.238
142,-0.203,0.438,1.242
143,0.012,0.645,1.168
144,0.137,0.449,0.719
145,0.285,-0.117,0.621
146,-0.320,-0.148,1.234
147,-0.289,0.133,1.281
148,0.094,0.258,1.062
149,0.285,0.492,0.977
150,0.230,0.191,0.590
151,0.164,-0.352,0.797
152,-0.516,-0.020,1.434
153,-0.289,0.438,1.367
154,-0.113,0.480,1.031
155,0.332,0.539,0.586
156,0.348,-0.102,0.559
157,-0.141,-0.164,1.086
158,-0.402,0.551,1.418
159,0.043,0.633,1.051
160,0.203,0.406,0.797
161,0.422,0.203,0.656
162,-0.188,-0.004,1.074
163,-0.262,0.246,1.191
164,-0.254,0.434,1.172
165,0.273,0.273,1.070
166,0.180,0.363,0.793
167,0.195,0.109,0.703
168,-0.160,-0.090,0.992
169,-0.246,0.328,1.312
170,-0.148,0.340,1.195
171,0.055,0.203,0.785
172,0.090,0.152,0.742
173,-0.125,0.004,1.051
174,-0.312,0.188,1.156
175,-0.176,0.344,1.086
176,0.117,0.270,0.965
177,0.211,0.207,0.758
178,0.000,0.180,0.949
179,-0.039,0.156,1.020
180,-0.234,0.363,1.168
181,-0.027,0.242,1.066
182,0.105,0.137,0.871
183,0.203,0.344,0.945
184,-0.090,0.188,1.027
185,0.043,0.176,0.973
186,0.039,0.234,1.070
187,0.078,0.160,0.969
188,-0.008,0.141,0.871
189,0.016,0.137,0.996
190,0.031,0.117,1.020
191,-0.078,0.312,0.945
192,-0.078,0.312,0.945
193,-0.027,0.117,0.938
194,0.238,0.109,1.016
195,-0.105,0.438,1.035
196,-0.004,0.305,1.078
197,0.047,0.344,1.105
198,-0.043,0.254,0.988
199,0.168,0.172,0.961
200,0.066,0.184,0.949
201,0.160,0.434,1.082
202,-0.125,0.258,0.973
203,0.098,0.176,0.879
204,-0.156,0.164,0.980
205,0.023,0.148,1.023
206,-0.199,0.223,0.969
207,-0.102,0.262,0.988
208,-0.055,0.320,0.980
209,0.004,0.172,0.922
210,0.043,0.176,1.020
211,-0.117,0.238,1.031
212,0.047,0.234,1.066
213,0.078,0.344,1.004
214,-0.012,0.348,1.004
215,0.098,0.223,0.895
216,0.152,0.121,0.941
217,-0.148,0.168,1.055
218,-0.027,0.277,1.086
219,-0.137,0.367,1.078
220,-0.039,0.457,0.957
221,0.020,0.246,0.832
222,-0.059,0.051,0.910
223,-0.172,0.160,1.176
224,0.004,0.332,1.047
225,0.000,0.344,0.883
226,0.270,0.090,0.789
227,0.070,-0.254,0.906
228,0.008,-0.230,1.062
229,-0.176,-0.309,1.152
230,0.008,0.055,1.078
231,0.027,-0.031,1.078
232,0.160,-0.395,0.859
233,0.023,-0.531,0.891
234,-0.113,-0.191,1.117
235,-0.137,0.012,1.148
236,0.223,-0.051,0.992
237,0.043,0.016,0.941
238,0.066,0.031,0.789
239,-0.129,-0.156,0.906
240,-0.148,0.098,1.180
241,-0.109,0.285,1.148
242,0.039,0.184,0.883
243,0.164,0.148,0.867
244,0.180,0.199,0.945
245,-0.043,0.207,1.090
246,0.082,-0.078,1.008
247,-0.039,-0.160,0.891
248,0.250,0.316,1.031
249,-0.137,0.125,1.043
250,0.129,-0.164,0.926
251,-0.250,-0.266,0.980
252,-0.094,0.027,1.176
253,-0.355,-0.242,0.988
254,0.191,-0.219,0.996
255,-0.320,0.027,1.008
256,0.129,-0.113,0.902
257,-0.145,-0.262,0.977
258,0.109,-0.168,1.004
259,0.008,0.078,1.051
260,0.090,0.094,0.902
261,0.125,-0.066,0.824
262,-0.035,-0.008,1.027
263,-0.223,0.141,1.172
264,-0.172,-0.004,1.098
265,-0.039,0.098,0.934
266,-0.004,0.273,0.988
267,0.105,0.184,0.984
268,0.031,-0.148,0.832
269,0.105,-0.133,1.008
270,0.094,0.051,1.125
271,-0.012,0.152,1.047
272,0.203,-0.039,0.883
273,0.254,-0.242,0.738
274,-0.078,-0.500,0.902
275,-0.133,-0.145,1.297
276,-0.117,0.262,1.387
277,0.008,0.012,0.895
278,0.469,-0.207,0.719
279,0.156,-0.254,0.785
280,-0.250,0.184,1.223
281,-0.148,-0.004,1.059
282,0.047,-0.098,0.992
283,0.000,0.410,1.020
284,-0.250,0.238,0.848
285,0.094,-0.238,0.832
286,-0.555,-0.051,1.199
287,0.094,0.203,1.176
288,-0.188,0.137,0.988
289,0.324,0.246,0.852
290,0.180,-0.090,0.672
291,0.285,-0.293,0.887
292,-0.758,0.113,1.449
293,0.156,0.035,1.129
294,-0.402,-0.160,0.918
295,0.312,0.195,1.074
296,-0.199,-0.223,0.836
297,0.191,-0.477,0.770
298,-0.250,-0.082,1.254
299,-0.090,0.113,1.141
300,0.293,-0.105,0.883
301,0.109,-0.090,0.770
302,0.312,-0.312,0.898
303,-0.016,-0.102,0.969
304,-0.160,0.168,1.184
305,-0.008,0.055,1.000
306,0.359,-0.016,0.867
307,-0.172,0.027,0.973
308,0.023,0.211,1.223
309,-0.211,0.109,1.027
310,0.145,0.027,0.977
