Sample,X,Y,Z
0,-0.0079,-0.0679,0.7955
1,-0.0110,-0.1016,1.0354
2,-0.0095,-0.1036,1.0601
3,-0.0109,-0.1030,1.0543
4,-0.0078,-0.1072,1.0583
5,-0.0115,-0.1089,1.0528
6,-0.0110,-0.1055,1.0568
7,-0.0082,-0.1074,1.0552
8,-0.0123,-0.1068,1.0623
9,-0.0082,-0.1077,1.0578
10,-0.0003,-0.1060,1.0563
11,-0.0060,-0.1014,1.0513
12,-0.0052,-0.1008,1.0577
13,-0.0065,-0.1093,1.0608
14,-0.0024,-0.1100,1.0635
15,-0.0068,-0.1041,1.0602
16,-0.0046,-0.1033,1.0646
17,-0.0045,-0.1059,1.0683
18,-0.0045,-0.1058,1.0601
19,-0.0075,-0.0986,1.0672
20,-0.0110,-0.1126,1.0871
21,-0.0084,-0.0878,1.1000
22,-0.0104,-0.1016,1.0684
23,-0.0114,-0.1061,1.0631
24,-0.0050,-0.1052,1.0654
25,-0.0094,-0.1064,1.0648
26,-0.0097,-0.1062,1.0654
27,-0.0154,-0.1057,1.0589
28,-0.0161,-0.1052,1.0590
29,-0.0118,-0.1075,1.0594
30,-0.0108,-0.1103,1.0616
31,-0.0090,-0.1037,1.0557
32,-0.0082,-0.1039,1.0596
33,-0.0094,-0.1054,1.0631
34,-0.0116,-0.1036,1.0569
35,-0.0076,-0.1028,1.0568
36,-0.0049,-0.1067,1.0574
37,-0.0069,-0.1107,1.0616
38,-0.0060,-0.1077,1.0640
39,-0.0079,-0.1058,1.0576
40,-0.0091,-0.0952,1.0775
41,-0.0005,-0.1058,1.0878
42,-0.0068,-0.1038,1.0652
43,-0.0077,-0.1072,1.0611
44,-0.0041,-0.1052,1.0698
45,-0.0095,-0.1037,1.0712
46,-0.0020,-0.1082,1.0641
47,-0.0081,-0.1051,1.0638
48,-0.0067,-0.1015,1.0675
49,-0.0055,-0.1049,1.0639
50,-0.0148,-0.1102,1.0698
51,-0.0118,-0.1063,1.0638
52,-0.0111,-0.1053,1.0609
53,-0.0065,-0.1033,1.0606
54,-0.0101,-0.1020,1.0657
55,-0.0070,-0.1049,1.0621
56,-0.0126,-0.1091,1.0586
57,-0.0078,-0.1051,1.0599
58,-0.0099,-0.1088,1.0557
59,-0.0080,-0.1011,1.0619
60,-0.0036,-0.1243,1.0829
61,0.0024,-0.1185,1.0745
62,-0.0070,-0.1052,1.0581
63,-0.0087,-0.1064,1.0605
64,-0.0108,-0.1088,1.0605
65,-0.0139,-0.1015,1.0631
66,-0.0083,-0.1032,1.0667
67,-0.0115,-0.1071,1.0610
68,-0.0079,-0.1060,1.0654
69,-0.0129,-0.1104,1.0595
70,-0.0052,-0.1078,1.0643
71,-0.0124,-0.1074,1.0643
72,-0.0046,-0.1032,1.0627
73,-0.0053,-0.1097,1.0669
74,-0.0102,-0.1026,1.0672
75,-0.0126,-0.1010,1.0625
76,-0.0095,-0.1033,1.0627
77,-0.0104,-0.0996,1.0562
78,-0.0063,-0.1066,1.0662
79,-0.0092,-0.1057,1.0625
80,-0.0085,-0.1230,1.0471
81,-0.0101,-0.1035,1.0483
82,-0.0079,-0.1061,1.0590
83,-0.0091,-0.1002,1.0626
84,-0.0082,-0.1069,1.0618
85,-0.0112,-0.1083,1.0596
86,-0.0153,-0.1059,1.0612
87,-0.0168,-0.1080,1.0562
88,-0.0033,-0.1035,1.0601
89,-0.0095,-0.0981,1.0657
90,-0.0084,-0.1035,1.0588
91,-0.0131,-0.1080,1.0640
92,-0.0072,-0.1073,1.0602
93,-0.0087,-0.1041,1.0700
94,-0.0076,-0.1054,1.0679
95,-0.0102,-0.1055,1.0671
96,-0.0070,-0.1041,1.0676
97,-0.0078,-0.1067,1.0603
98,-0.0046,-0.1041,1.0639
99,-0.0093,-0.1088,1.0625
100,-0.0131,-0.1140,1.0613
101,-0.0085,-0.1091,1.0605
102,-0.0081,-0.1068,1.0618
103,-0.0076,-0.1058,1.0615
104,-0.0058,-0.1038,1.0587
105,-0.0069,-0.1104,1.0603
106,-0.0078,-0.1067,1.0613
107,-0.0131,-0.1041,1.0620
108,-0.0092,-0.1047,1.0613
109,-0.0089,-0.0999,1.0703
110,-0.0060,-0.0784,1.0732
111,0.0003,-0.0605,1.0644
112,0.0261,-0.0718,1.0425
113,0.0715,-0.1257,1.0378
114,0.1444,-0.1845,1.0261
115,0.2084,-0.2443,1.0288
116,0.2476,-0.2808,1.0352
117,0.3073,-0.3236,1.0482
118,0.4454,-0.3319,1.0278
119,0.5532,-0.2388,0.9585
120,0.5710,-0.0229,0.8777
121,0.4634,0.1792,0.8657
122,0.3428,0.2709,0.9425
123,0.3371,0.1260,1.1064
124,0.5025,-0.1987,1.2881
125,0.7689,-0.4694,1.4111
126,0.8949,-0.4370,1.3631
127,0.7000,-0.0430,1.1829
128,0.2258,0.4492,0.9534
129,-0.0630,0.4883,0.8591
130,0.2935,-0.1646,1.0384
131,1.0586,-0.9551,1.2543
132,1.2379,-0.8948,1.3226
133,0.4389,0.0224,1.1260
134,-0.3933,0.7057,0.9301
135,-0.5629,0.6747,0.9521
136,-0.1335,0.1181,1.0076
137,0.5708,-0.8607,1.2945
138,1.1772,-1.3948,1.3708
139,0.7204,-0.6488,1.2829
140,-0.3658,0.5922,0.8830
141,-0.9852,1.0944,0.6755
142,-0.7311,0.5825,0.7156
143,0.0142,-0.2983,0.9734
144,1.0010,-1.3649,1.3221
