Sample,X,Y,Z
0,-0.0157,-0.0645,0.7709
1,-0.0126,-0.1046,1.0354
2,-0.0157,-0.1035,1.0615
3,-0.0136,-0.1051,1.0618
4,-0.0118,-0.1028,1.0605
5,-0.0094,-0.1068,1.0632
6,-0.0034,-0.1038,1.0629
7,-0.0072,-0.1025,1.0594
8,-0.0121,-0.1049,1.0637
9,-0.0111,-0.1064,1.0609
10,-0.0110,-0.1058,1.0613
11,-0.0088,-0.1051,1.0559
12,-0.0115,-0.1038,1.0618
13,-0.0082,-0.1020,1.0627
14,-0.0119,-0.1096,1.0557
15,-0.0070,-0.1105,1.0547
16,-0.0067,-0.1024,1.0615
17,-0.0133,-0.1083,1.0616
18,-0.0089,-0.1055,1.0638
19,-0.0046,-0.1037,1.0612
20,0.3102,-0.3581,1.0419
21,-0.0112,-0.1157,1.0540
22,-0.0151,-0.0960,1.0583
23,-0.0045,-0.1052,1.0586
24,-0.0081,-0.1013,1.0615
25,-0.0112,-0.1038,1.0591
26,-0.0049,-0.1041,1.0632
27,-0.0078,-0.1019,1.0552
28,-0.0014,-0.1028,1.0602
29,-0.0075,-0.1041,1.0645
30,-0.0077,-0.1078,1.0606
31,-0.0097,-0.1025,1.0593
32,-0.0132,-0.1008,1.0541
33,-0.0024,-0.1006,1.0559
34,-0.0067,-0.1063,1.0584
35,-0.0097,-0.1016,1.0637
36,-0.0095,-0.1057,1.0627
37,-0.0149,-0.1054,1.0623
38,-0.0117,-0.1031,1.0615
39,-0.0098,-0.1046,1.0637
40,-0.0067,-0.0967,1.0602
41,-0.0082,-0.1220,1.0573
42,-0.0142,-0.1025,1.0583
43,-0.0122,-0.1061,1.0549
44,-0.0060,-0.1083,1.0589
45,-0.0118,-0.1074,1.0574
46,-0.0089,-0.1068,1.0649
47,-0.0101,-0.1044,1.0671
48,-0.0114,-0.1086,1.0625
49,-0.0112,-0.1066,1.0593
50,-0.0110,-0.1074,1.0618
51,-0.0134,-0.0994,1.0584
52,-0.0146,-0.1042,1.0583
53,-0.0103,-0.1055,1.0590
54,-0.0018,-0.1040,1.0603
55,-0.0028,-0.1039,1.0593
56,-0.0049,-0.1058,1.0657
57,-0.0097,-0.1044,1.0565
58,-0.0038,-0.1041,1.0605
59,-0.0060,-0.1071,1.0552
60,-0.0078,-0.0979,1.0731
61,-0.0154,-0.1203,1.0808
62,-0.0088,-0.1011,1.0640
63,-0.0126,-0.1065,1.0596
64,-0.0067,-0.1069,1.0583
65,-0.0040,-0.1087,1.0652
66,-0.0067,-0.1009,1.0621
67,-0.0085,-0.1024,1.0586
68,-0.0165,-0.1060,1.0627
69,-0.0089,-0.1052,1.0639
70,-0.0160,-0.1058,1.0635
71,-0.0104,-0.1033,1.0621
72,-0.0091,-0.1013,1.0562
73,-0.0132,-0.1077,1.0609
74,-0.0114,-0.1094,1.0608
75,-0.0084,-0.1049,1.0606
76,-0.0118,-0.1016,1.0576
77,-0.0027,-0.1126,1.0601
78,-0.0080,-0.1072,1.0670
79,-0.0118,-0.1032,1.0611
80,-0.0192,-0.1124,1.0616
81,0.0020,-0.0933,1.0573
82,-0.0070,-0.1087,1.0634
83,-0.0114,-0.1049,1.0644
84,-0.0081,-0.1035,1.0603
85,-0.0108,-0.0995,1.0595
86,-0.0111,-0.0957,1.0624
87,-0.0106,-0.1055,1.0596
88,-0.0055,-0.1091,1.0601
89,-0.0052,-0.1050,1.0602
90,-0.0060,-0.1055,1.0609
91,-0.0027,-0.1032,1.0652
92,-0.0093,-0.1038,1.0616
93,-0.0148,-0.1026,1.0591
94,-0.0084,-0.1108,1.0591
95,-0.0109,-0.1074,1.0630
96,-0.0159,-0.1049,1.0595
97,-0.0098,-0.1079,1.0632
98,-0.0099,-0.1006,1.0606
99,-0.0090,-0.1044,1.0620
100,-0.0057,-0.1013,1.0537
101,-0.0165,-0.0966,1.0378
102,-0.0077,-0.1065,1.0583
103,-0.0099,-0.1061,1.0655
104,-0.0114,-0.1008,1.0627
105,-0.0075,-0.1011,1.0588
106,-0.0024,-0.1052,1.0611
107,-0.0044,-0.1035,1.0659
108,-0.0023,-0.1096,1.0611
109,0.0242,-0.1021,1.0639
110,0.0475,-0.0471,1.0560
111,-0.0043,0.0863,1.0365
112,-0.1100,0.2140,1.0340
113,-0.1411,0.2414,1.0733
114,-0.0631,0.1977,1.0703
115,0.0153,0.1903,1.0595
116,0.0710,0.2438,1.0289
117,0.0327,0.3340,1.0542
118,-0.0649,0.4449,1.0806
119,-0.1384,0.4969,1.0801
120,-0.1428,0.4821,1.1193
121,-0.1428,0.4821,1.1193
122,-0.0848,0.3854,1.1494
123,0.0173,0.2578,1.1627
124,0.0701,0.1931,1.1456
125,0.0511,0.1804,1.0769
126,0.0583,0.1201,1.0790
127,0.0583,0.1015,1.1244
128,-0.0423,0.1488,1.1380
129,-0.1159,0.1039,1.1221
130,-0.0270,-0.0789,1.0991
131,0.2400,-0.2418,1.0391
132,0.3786,-0.1057,0.8444
133,0.0945,0.2220,0.8044
134,-0.2460,0.3154,1.0286
135,-0.3470,0.1968,1.1844
136,-0.0862,-0.1257,1.2712
137,0.3109,-0.3769,1.3484
138,0.3760,-0.1618,1.1790
139,0.0664,0.2990,0.9217
140,-0.2695,0.5427,0.8419
141,-0.3654,0.5239,0.8553
142,-0.2619,0.3183,1.1312
143,0.1016,-0.0325,1.2624
144,0.3711,-0.1997,1.2353
145,0.2675,-0.0349,1.1783
146,-0.0329,0.3323,1.0315
147,-0.3379,0.6395,0.8497
148,-0.4196,0.6519,0.8553
149,-0.2000,0.4055,0.9087
150,0.1580,-0.0263,1.1708
151,0.4442,-0.3701,1.3942
152,0.2753,-0.0782,1.3007
153,-0.2358,0.5388,0.9588
154,-0.4665,0.6378,0.8042
155,-0.2563,0.3552,0.9285
156,0.0506,0.0389,1.0035
157,0.3935,-0.4177,1.3407
158,0.4597,-0.3734,1.4220
159,-0.0361,0.2785,1.0703
160,-0.3274,0.5224,1.0173
161,-0.2051,0.3564,0.9277
162,-0.1092,0.1570,1.0759
163,0.1229,-0.2243,1.2566
164,0.4008,-0.3461,1.2704
165,0.1929,0.0536,1.0144
166,-0.1285,0.4275,0.8358
167,-0.2438,0.3784,0.9734
168,-0.2485,0.3832,0.9960
169,-0.0778,0.2221,1.0579
170,0.1971,-0.1254,1.1404
171,0.3687,-0.2230,1.2440
172,0.0999,0.2126,0.9724
173,-0.2115,0.5757,0.7681
174,-0.2920,0.4585,0.9209
175,-0.2070,0.2622,1.1182
176,-0.0405,0.1069,1.1921
177,0.2213,-0.1768,1.2805
178,0.2984,-0.1368,1.3250
179,0.0714,0.2933,1.0015
180,-0.2248,0.5273,0.9538
181,-0.2991,0.4536,0.9431
182,-0.2799,0.3356,1.0209
183,0.0152,-0.1304,1.3062
184,0.4074,-0.4217,1.4207
185,0.3214,-0.0427,1.1340
186,-0.0297,0.4121,0.8354
187,-0.2617,0.4916,0.8879
188,-0.3599,0.4443,0.9694
189,-0.2390,0.2842,1.0141
190,0.1343,-0.2054,1.2372
191,0.4837,-0.4063,1.3900
192,0.3586,-0.0068,1.0547
193,-0.1658,0.4467,0.9105
194,-0.4436,0.5419,0.8667
195,-0.4045,0.4655,0.7830
196,-0.1663,0.1668,1.0290
197,0.3855,-0.3137,1.2794
198,0.4436,-0.2295,1.2546
199,-0.0401,0.2817,1.0288
200,-0.3215,0.4539,0.9260
201,-0.2812,0.3972,0.9763
202,-0.2130,0.3361,1.0327
203,0.0447,-0.0268,1.2161
204,0.2461,-0.2227,1.3533
205,0.1946,-0.0168,1.1505
206,-0.0685,0.3342,1.0251
207,-0.2651,0.4206,0.9824
208,-0.3106,0.3793,1.0251
209,-0.1636,0.2150,1.0489
210,0.1605,-0.0984,1.1672
211,0.2756,-0.1635,1.2521
212,0.1707,0.0375,0.9841
213,-0.1583,0.3384,0.9602
214,-0.2305,0.3792,0.7953
215,-0.1478,0.1569,1.0518
216,0.1110,-0.1920,1.2164
217,0.3295,-0.3555,1.2445
218,0.2393,-0.0974,1.0645
219,-0.0031,0.1730,0.8986
220,-0.1667,0.2619,1.0302
221,-0.1407,0.1434,1.0867
222,0.0646,0.0238,1.1471
223,0.1255,0.0314,1.0541
224,0.0803,0.0726,1.1254
225,-0.0454,0.1232,1.1152
226,-0.0777,0.2960,0.9693
227,-0.1049,0.3627,0.9379
228,-0.0004,0.1904,1.1835
229,0.0920,0.1557,1.1587
230,-0.0182,0.3156,1.0604
231,-0.0767,0.3763,0.9895
232,-0.0116,0.2647,1.0535
233,0.0434,0.2419,1.1236
234,0.0266,0.2412,1.0547
235,0.0467,0.0754,1.1212
236,0.1967,-0.1262,1.1873
237,0.1981,-0.0430,1.1612
238,0.0089,0.2399,0.9597
239,-0.1269,0.2892,0.9832
240,-0.1548,0.1957,1.0086
241,-0.1093,0.1209,1.0341
242,0.0778,-0.0288,1.1686
243,0.1882,-0.0168,1.2188
244,-0.0170,0.1893,1.1685
245,-0.2476,0.4141,1.0956
246,-0.2971,0.4799,0.9393
247,-0.1364,0.2826,0.9976
248,0.1484,-0.0187,1.1479
249,0.1836,-0.0054,1.1482
250,0.0236,0.1713,1.1548
251,-0.1049,0.2283,1.0556
252,-0.0717,0.2777,1.0525
253,-0.0607,0.2939,0.9418
254,0.0551,0.0963,0.9844
255,0.1158,-0.0278,1.1221
256,0.0889,0.0645,1.1308
257,0.0077,0.2137,1.1130
258,-0.0574,0.3289,1.0081
259,-0.1733,0.3292,1.1003
260,-0.2498,0.3770,1.0105
261,-0.0464,0.1867,0.9418
262,0.1044,-0.0439,1.1334
263,0.1292,-0.0283,1.1877
264,0.0933,0.0425,1.1813
265,-0.0610,0.1768,1.0974
266,-0.1189,0.1986,1.0285
267,-0.0376,0.0681,1.0317
268,0.0946,-0.0334,1.1175
269,0.1189,-0.0377,1.1372
270,0.0891,-0.0231,1.1198
271,-0.0326,0.0861,1.1384
272,-0.1694,0.1511,1.0195
273,-0.1334,-0.0350,1.1569
274,0.0395,-0.2048,1.0449
275,0.2531,-0.4326,1.1205
276,0.2010,-0.2966,1.1133
277,-0.0610,0.0035,0.8782
278,-0.2512,0.0510,0.8943
279,-0.1606,-0.2079,0.9460
280,0.1892,-0.6526,1.0891
281,0.3885,-0.7317,1.1672
282,0.1337,-0.3354,0.9710
283,-0.2048,-0.0482,0.9634
284,-0.2521,-0.0331,0.9527
285,-0.1816,0.0218,0.9794
286,-0.0970,0.0435,0.9531
287,0.0844,-0.2315,1.0859
288,0.3092,-0.4001,1.2628
289,0.0604,0.0130,1.0798
290,-0.1833,0.1791,1.0096
291,-0.1587,0.0964,1.1238
292,-0.0067,0.0308,1.1135
293,0.0254,0.0823,1.0806
294,0.0277,0.0095,1.0955
295,0.0609,-0.1016,1.2155
296,-0.0826,-0.0068,1.2543
297,-0.0653,0.0569,1.1078
298,-0.0313,0.0236,1.0085
299,-0.0805,0.0112,1.1025
300,-0.1437,0.0734,1.0117
301,-0.1118,-0.0284,1.0320
302,-0.0899,0.0005,0.9747
303,0.0222,-0.2705,0.9810
304,0.1851,-0.3954,1.0906
305,0.1037,-0.2913,0.9108
306,0.0372,-0.2524,0.9564
307,0.0278,-0.3452,0.9502
308,0.0500,-0.4676,1.1290
309,0.1243,-0.4398,1.0835
310,0.0634,-0.2485,1.0100
311,-0.0873,-0.1496,1.0864
312,-0.0463,-0.1768,1.1246
313,-0.1172,-0.1291,1.2015
314,-0.0419,-0.0627,1.0646
315,-0.0845,-0.0224,1.0316
316,-0.0612,-0.0903,1.0701
317,0.0207,-0.1865,1.0726
318,0.0817,-0.1688,1.0201
319,0.0703,-0.1059,0.9741
320,-0.0424,-0.0253,1.0493
321,-0.0634,0.0512,0.9922
322,-0.0259,-0.0778,1.0680
323,0.0288,-0.1429,1.1567
324,-0.0225,-0.0148,1.1589
325,-0.0642,0.0516,1.0957
326,-0.0247,0.0848,1.0504
327,-0.1095,0.1095,1.0966
328,-0.1133,0.1012,1.0383
329,-0.0475,0.0345,0.9932
330,0.0489,-0.0928,0.9563
331,0.1664,-0.3423,1.1357
332,0.1877,-0.3047,1.0610
333,-0.0342,-0.0186,0.9951
334,-0.1648,0.1028,0.9753
335,-0.1653,0.0957,1.0089
336,-0.1669,-0.0673,1.1214
337,0.0289,-0.3610,1.2106
338,0.2731,-0.6241,1.2857
339,0.3710,-0.5581,1.2165
340,0.0694,-0.1087,1.0502
341,-0.2488,0.1979,0.8238
342,-0.3259,0.1256,0.9033
343,-0.0380,-0.1972,0.8745
344,0.1403,-0.3975,1.0342
345,0.3184,-0.5994,1.0958
346,0.2420,-0.4208,1.1638
347,-0.0952,-0.0972,1.0693
348,-0.3112,0.1756,1.0576
349,-0.2896,0.2085,0.9592
350,-0.1673,0.0497,1.0803
351,0.1162,-0.2117,1.0997
352,0.2240,-0.2935,1.2166
353,0.1660,-0.1091,1.1110
354,-0.1161,0.1802,1.1157
355,-0.2449,0.3299,1.0245
356,-0.1901,0.2529,0.9673
357,-0.0470,-0.0221,1.0280
358,0.1351,-0.2365,1.1762
359,0.2896,-0.3797,1.1453
360,0.1555,-0.2310,1.2197
361,-0.2427,0.2234,1.0031
362,-0.4780,0.3920,0.9355
363,-0.3343,0.1351,1.0032
364,0.1177,-0.3720,1.0784
365,0.3738,-0.5611,1.1464
366,0.2305,-0.2837,0.9822
367,-0.0400,-0.0402,0.9896
368,-0.2922,0.1063,1.0181
369,-0.3010,0.0842,1.0686
370,-0.0388,-0.2565,0.9673
371,0.2862,-0.6024,1.1100
372,0.3387,-0.5394,0.9339
373,0.1031,-0.4666,1.0724
374,-0.1152,-0.1305,0.9604
375,-0.4396,0.2337,0.9019
376,-0.3922,0.1245,1.0999
377,-0.0789,-0.1547,1.1104
378,0.2567,-0.3769,1.1762
379,0.1907,-0.1719,1.1091
380,-0.0244,-0.0250,1.0923
381,-0.1804,-0.0072,1.2457
382,-0.1825,0.0095,1.0918
383,-0.0656,-0.1563,1.1286
384,0.1679,-0.3696,1.1711
385,0.2752,-0.2491,0.9802
386,-0.0390,0.0894,0.8860
387,-0.1533,0.2083,0.8931
388,-0.1453,0.1972,1.0417
389,-0.0803,0.1684,1.1013
390,0.0060,0.0591,1.1837
391,0.2181,-0.0734,1.1494
392,0.0950,0.0605,1.1059
393,-0.0001,0.1191,1.0071
394,-0.1354,0.1037,1.0734
395,-0.0154,-0.2795,1.1276
396,0.3992,-0.6053,1.0839
397,0.1690,-0.2465,1.0309
398,0.0499,-0.2034,0.9073
399,-0.0512,-0.1259,1.1365
400,-0.2529,0.1805,0.8613
401,-0.2443,0.1122,1.1059
402,0.0161,-0.2090,1.1359
403,0.1614,-0.2979,1.1415
404,0.1203,-0.2495,1.1459
405,0.0613,-0.1331,0.9948
406,-0.0700,0.0700,0.9695
407,-0.1613,0.1057,0.9405
408,-0.0466,-0.1528,1.0142
409,0.0928,-0.3551,1.1513
410,0.1669,-0.3718,1.0374
411,0.0873,-0.3142,1.1189
412,-0.0024,-0.1069,1.1371
413,-0.1373,0.0635,1.0074
414,-0.2054,0.0265,1.1368
415,-0.1708,-0.0910,1.1346
416,0.0303,-0.2453,1.1192
417,0.1129,-0.3420,1.1018
418,0.1553,-0.2778,1.0048
419,-0.1086,-0.1106,1.0007
420,-0.1035,-0.0324,0.9990
421,-0.0397,-0.1721,0.9755
422,0.0830,-0.3263,1.1309
423,0.2768,-0.3509,1.0195
424,0.1998,-0.1830,0.9766
425,-0.0659,0.1708,0.9859
426,-0.2103,0.3015,1.0128
427,-0.1348,0.1276,1.2067
428,-0.0024,0.0594,1.1989
429,0.0840,0.0475,1.1586
430,0.1698,0.0110,1.1282
431,0.0667,0.0697,1.0739
432,-0.1349,0.2041,1.0202
433,-0.1655,0.1513,0.8858
434,0.0182,-0.1846,0.9937
435,0.2936,-0.4673,1.1951
436,0.2845,-0.3185,1.0705
437,-0.0299,0.0254,1.0220
438,-0.3552,0.2761,0.8968
439,-0.4161,0.2885,1.0370
440,-0.2545,0.0812,1.0566
441,0.0808,-0.3887,1.2461
442,0.3645,-0.6376,1.3173
443,0.2625,-0.4669,1.3001
444,-0.0913,-0.0650,1.0156
445,-0.3753,0.1245,0.9089
446,-0.2861,-0.0029,0.8628
447,0.0982,-0.5640,0.9789
448,0.4114,-0.8743,1.1976
449,0.3469,-0.5605,0.9850
450,-0.0571,-0.1323,0.9697
451,-0.2998,0.0615,1.0021
452,-0.3652,0.1794,1.0095
453,-0.1814,0.0973,0.9864
454,0.1384,-0.3122,1.1345
455,0.2520,-0.3845,1.2649
456,0.0491,0.0644,0.9216
457,-0.1318,0.1018,0.9189
458,-0.1160,0.0322,0.9521
459,0.0608,0.0154,0.8968
460,0.1169,-0.1077,0.9714
461,0.2631,-0.2945,1.1489
462,0.0735,-0.0690,1.1677
463,-0.0690,0.1283,1.0203
464,-0.0836,0.1462,1.1299
465,-0.0932,0.1608,1.0794
466,-0.0418,0.0428,1.2493
467,0.1120,-0.1797,1.3137
468,0.0679,-0.0632,1.3656
469,-0.0853,0.0856,1.2007
470,-0.0544,0.0110,1.1376
471,-0.1051,0.1108,0.9139
472,-0.1179,0.0175,0.8972
473,0.0309,-0.2021,0.9270
474,0.2054,-0.4877,1.0857
475,0.1190,-0.3958,1.2179
476,-0.1072,0.0112,0.9456
477,-0.2938,0.1826,0.9670
478,-0.2812,0.1582,0.8655
479,-0.2032,-0.1177,1.1161
480,0.0762,-0.4310,1.1347
481,0.2482,-0.5425,1.0932
482,0.0677,-0.3174,1.0820
483,-0.1318,-0.0099,0.8962
484,-0.3006,0.1400,0.8628
485,-0.2605,0.0316,0.8482
486,0.0208,-0.2361,0.9759
487,0.1960,-0.5034,1.0179
488,0.2337,-0.4972,1.2526
489,-0.0629,-0.1125,1.1014
490,-0.2703,0.1623,1.0767
491,-0.3387,0.1906,1.0427
492,-0.2057,-0.0411,1.1409
493,0.1198,-0.2998,1.0812
494,0.2493,-0.3835,1.1526
495,0.2853,-0.4305,1.1195
496,0.1243,-0.2145,1.2006
497,-0.0618,0.0534,1.0889
498,-0.1523,0.1042,1.0495
499,-0.0772,-0.0251,1.0471
500,0.1133,-0.2281,1.0990
501,0.2244,-0.4115,1.1816
502,0.1755,-0.2949,1.1203
503,0.0581,-0.0341,0.9736
504,0.0410,0.0356,0.9189
505,0.0212,0.1643,0.9649
506,-0.0234,0.2786,0.9098
507,-0.0165,0.3057,0.9274
508,0.0443,0.0955,1.0713
509,0.1866,-0.0867,1.1987
510,0.2125,-0.1455,1.1563
511,0.1491,-0.1302,1.1744
512,-0.0425,0.0057,1.0595
513,-0.1466,-0.0369,1.0933
514,-0.1876,-0.0518,1.0055
515,-0.1301,-0.1563,0.9417
516,0.0056,-0.2906,1.0240
517,0.0081,-0.3583,1.1399
518,-0.1666,-0.0923,1.1049
519,-0.3015,0.0604,0.9773
520,0.2337,-0.4972,1.2526
521,-0.3183,0.0132,1.1318
522,-0.0785,-0.2852,1.1621
523,0.0629,-0.3665,1.1396
524,0.1083,-0.1805,0.9110
525,-0.0034,-0.0693,0.9670
526,-0.0228,-0.2493,1.1670
527,0.1548,-0.3223,1.3174
528,0.0060,-0.0229,1.0957
529,-0.1703,0.1048,1.0038
530,-0.1253,0.0264,0.9509
531,0.0698,-0.1313,1.0259
532,0.1834,-0.1851,0.9592
533,0.0913,-0.0977,0.9727
534,0.0162,-0.0381,0.9733
535,-0.0598,-0.1065,1.0627
536,0.0674,-0.1605,1.0873
537,0.0664,-0.1384,0.9197
538,0.0685,-0.2827,1.1431
539,0.0824,-0.1884,1.0837
540,0.0726,-0.1555,0.9854
541,0.0726,-0.1555,0.9854
542,0.1275,-0.1655,1.1471
543,0.1187,-0.1561,1.1489
544,-0.0532,0.0823,1.1749
545,-0.1459,0.2924,1.0591
546,-0.0724,0.1090,1.1362
547,0.0544,-0.0466,1.1802
548,0.0226,-0.0895,1.1951
549,0.0976,-0.1230,1.0901
550,0.1765,-0.2708,1.0867
551,0.1370,-0.2664,0.9714
552,0.0354,-0.1443,0.9878
553,-0.0521,-0.0142,0.8370
554,-0.0403,-0.0240,0.8977
555,-0.1189,-0.0673,1.0065
556,-0.0214,-0.2032,1.1146
557,0.0654,-0.2595,1.1579
558,-0.0422,-0.0426,1.1771
559,-0.1999,0.0889,1.1672
560,-0.3344,0.1634,1.1788
561,-0.3344,0.1634,1.1788
562,-0.3372,0.1903,0.9427
563,-0.1053,-0.0391,1.0182
564,0.2074,-0.3015,1.0841
565,0.1555,-0.3328,1.0593
566,0.0103,-0.1123,1.0154
567,-0.1678,-0.0989,0.9351
568,-0.0827,-0.1651,1.1072
569,-0.0962,-0.1482,1.0111
570,0.0222,-0.2682,0.9976
571,0.1336,-0.4031,1.1924
572,0.1522,-0.2486,1.0631
573,-0.0370,-0.0707,1.0790
574,-0.2070,0.1007,1.0449
575,-0.1693,0.0027,1.0722
576,0.0363,-0.2744,1.1627
577,0.3025,-0.4258,1.0574
578,0.1646,-0.3438,1.0551
579,0.0927,-0.1968,0.8975
580,-0.1528,-0.0515,0.9963
581,-0.1272,-0.0137,0.9327
582,-0.1044,0.0020,1.0280
583,-0.0820,0.0402,1.0524
584,-0.0739,0.0911,1.0330
585,0.0714,-0.0619,1.0854
586,0.1777,-0.1956,1.1492
587,0.0599,-0.0898,1.1960
588,-0.0408,0.0764,1.1336
589,-0.0035,0.0382,1.1244
590,0.0649,-0.0580,1.1100
591,-0.0103,-0.0098,1.0491
592,0.0235,-0.1949,1.1328
593,0.1201,-0.2880,1.1162
594,0.0495,-0.2877,1.1458
595,-0.0659,-0.0952,1.1407
596,-0.2790,0.1328,0.9086
597,-0.2997,0.1814,0.9336
598,-0.0790,-0.0515,0.9119
599,0.1465,-0.3638,1.0038
600,0.1346,-0.3260,1.0413
601,0.0944,-0.3031,1.0681
602,-0.0319,-0.1882,1.1545
603,-0.2303,0.1074,0.9907
604,-0.1879,0.0458,0.9461
605,-0.0157,-0.2417,1.0528
606,0.1598,-0.4517,1.1021
607,0.1138,-0.3536,1.1642
608,-0.0148,-0.1419,1.0018
609,-0.2231,0.0744,1.0267
610,-0.1658,0.0990,0.9466
611,-0.0627,0.0177,1.0635
612,0.0637,-0.0665,1.0559
613,0.0751,-0.0906,1.0905
614,0.1675,-0.2261,1.1350
615,0.1500,-0.1915,1.1762
616,0.0865,-0.1103,1.1299
617,0.0912,-0.1005,1.0776
618,-0.0344,0.0112,1.0554
619,0.0234,-0.1091,1.1432
620,0.0120,-0.1099,1.1398
621,0.0120,-0.1099,1.1398
622,0.0106,-0.0670,1.1165
623,-0.0800,0.0293,1.1345
624,-0.1251,0.0870,1.0590
625,-0.1523,0.0394,1.1550
626,-0.0329,-0.1086,1.0439
627,-0.0448,-0.0298,1.0101
628,-0.0499,-0.1061,0.9549
629,0.0681,-0.2069,0.9978
630,-0.0135,-0.1036,0.8970
631,-0.1436,-0.0720,0.8976
632,-0.0867,-0.2645,1.0131
633,0.1971,-0.5313,1.0627
634,0.1732,-0.3381,1.1118
635,-0.1016,0.0917,0.9317
636,-0.2402,0.2119,1.0292
637,-0.1948,0.1410,1.1118
638,-0.1436,0.0515,1.1989
639,0.0077,-0.0335,1.0858
640,0.1686,-0.3046,1.1810
641,0.2346,-0.4053,1.2432
642,0.0385,-0.1055,1.1299
643,-0.1040,0.1281,0.8882
644,-0.1550,0.1432,0.8785
645,-0.1210,-0.0693,0.9783
646,0.1459,-0.4046,1.1553
647,0.1152,-0.3889,1.2139
648,0.0366,-0.2676,1.2169
649,-0.1270,-0.0644,1.2148
650,-0.1448,0.1586,1.0861
651,-0.0795,0.1277,0.9781
652,-0.0739,0.0760,0.9639
653,-0.0313,-0.1479,1.0076
654,0.1182,-0.3072,1.0160
655,0.1808,-0.3809,0.9390
656,0.2457,-0.3415,0.9054
657,0.0458,-0.1057,0.9193
658,-0.1000,0.0556,0.8830
659,-0.1895,0.1210,0.9590
660,-0.1007,-0.1274,1.0905
661,0.1573,-0.3965,1.2896
662,0.1218,-0.1520,1.1670
663,-0.0575,0.0797,1.2269
664,-0.0995,0.0536,1.1741
665,-0.1648,0.1135,1.2021
666,-0.1025,0.0234,1.0969
667,0.1215,-0.1887,1.0786
668,0.1542,-0.2763,1.1614
669,0.1705,-0.3388,1.0411
670,-0.0472,-0.1656,1.0739
671,-0.1602,-0.0168,0.9107
672,-0.2072,0.0496,1.0589
673,-0.1906,0.0330,0.9479
674,-0.0839,-0.0917,1.0799
675,-0.0055,-0.1627,1.0473
676,0.0374,-0.1840,1.1146
677,-0.0234,-0.0081,0.9956
678,-0.0890,-0.0685,0.9972
679,0.1003,-0.2462,1.0427
680,0.0912,-0.1802,0.9539
681,0.0814,-0.2228,0.9370
682,0.0692,-0.2406,0.9294
683,0.1351,-0.4306,1.0877
684,0.2421,-0.4212,1.1005
685,0.0012,0.0434,1.0222
686,-0.2021,0.2856,0.9805
687,-0.2042,0.1977,1.0672
688,-0.0596,0.0798,1.1763
689,-0.0464,0.0126,1.1721
690,0.2443,-0.3423,1.2927
691,0.2181,-0.3044,1.3381
692,0.0203,-0.0524,1.1704
693,-0.1251,0.1459,1.0310
694,-0.1898,0.1382,0.8757
695,-0.0048,-0.1814,1.0490
696,0.1513,-0.3240,1.0216
697,0.1903,-0.3921,1.0837
698,0.0711,-0.2764,1.1579
699,-0.2656,0.1570,1.1205
700,-0.3494,0.3365,0.8901
701,-0.2524,0.1955,1.0180
702,-0.0274,-0.0377,1.0301
703,0.1856,-0.2158,1.0239
704,0.1119,-0.2207,1.1260
705,-0.0011,-0.0872,0.9984
706,-0.1078,0.0143,0.9834
707,-0.1371,-0.0546,0.9451
708,0.1024,-0.3948,1.0562
709,0.1797,-0.4719,1.0647
710,0.0491,-0.3149,1.1116
711,-0.0647,-0.1594,0.9077
712,-0.1003,-0.1758,1.1172
713,-0.0019,-0.2935,1.1857
