Sample,X,Y,Z
0,-0.043,0.238,1.016
1,-0.004,-0.020,0.996
2,-0.008,-0.023,1.000
3,-0.008,-0.020,0.992
4,-0.012,-0.008,0.992
5,-0.008,-0.004,0.992
6,-0.008,-0.012,0.996
7,-0.012,-0.020,0.996
8,-0.008,-0.016,0.996
9,-0.004,-0.016,0.996
10,-0.008,-0.020,0.996
11,-0.016,-0.016,0.996
12,-0.004,-0.016,0.996
13,-0.012,-0.020,1.004
14,-0.008,-0.020,1.004
15,-0.004,-0.012,0.988
16,-0.008,-0.012,0.996
17,-0.008,-0.008,0.988
18,-0.008,-0.008,0.988
19,-0.008,-0.008,0.996
20,-0.008,-0.012,0.992
21,-0.012,-0.008,0.996
22,-0.004,-0.012,1.000
23,-0.008,-0.008,0.996
24,-0.008,-0.012,0.992
25,-0.012,-0.008,1.008
26,-0.012,-0.020,1.000
27,-0.008,-0.016,0.984
28,-0.004,-0.012,1.004
29,-0.004,-0.016,0.996
30,-0.004,-0.016,1.000
31,-0.008,-0.012,0.996
32,-0.012,-0.012,0.988
33,-0.008,-0.012,0.988
34,-0.012,-0.016,1.000
35,-0.008,-0.020,0.988
36,-0.012,-0.012,0.988
37,-0.016,-0.008,1.004
38,-0.012,-0.012,0.996
39,-0.008,-0.016,0.996
40,-0.008,-0.020,1.000
41,-0.008,-0.008,1.004
42,-0.004,-0.020,0.992
43,-0.004,-0.012,0.992
44,-0.008,-0.016,0.992
45,-0.012,-0.016,0.996
46,-0.008,-0.020,0.988
47,-0.004,-0.016,0.988
48,0.004,-0.012,0.984
49,-0.020,-0.012,1.031
50,-0.008,-0.004,0.996
51,-0.008,-0.012,0.992
52,-0.012,-0.012,0.996
53,-0.004,-0.012,0.992
54,-0.012,-0.012,0.992
55,-0.008,-0.020,0.996
56,-0.012,-0.020,1.000
57,-0.008,-0.016,0.992
58,-0.008,-0.023,0.996
59,0.004,-0.027,0.992
60,0.004,-0.016,0.984
61,-0.008,-0.012,0.996
62,-0.008,-0.016,0.992
63,-0.008,-0.008,0.992
64,-0.012,-0.016,1.000
65,-0.016,-0.012,0.980
66,-0.016,-0.008,0.996
67,-0.008,-0.020,0.984
68,-0.008,-0.008,0.992
69,-0.016,-0.016,0.988
70,-0.004,-0.016,0.996
71,-0.016,-0.008,0.992
72,0.000,-0.012,1.000
73,-0.012,-0.023,1.031
74,-0.012,-0.016,1.008
75,-0.004,-0.012,0.996
76,-0.008,-0.012,0.992
77,-0.012,-0.020,0.984
78,-0.012,-0.016,0.984
79,-0.012,-0.004,0.992
80,-0.012,-0.012,0.992
81,-0.016,-0.012,0.992
82,-0.012,-0.008,0.984
83,-0.016,-0.012,0.988
84,-0.008,-0.012,0.996
85,-0.004,-0.016,0.992
86,-0.004,-0.016,1.004
87,-0.008,-0.012,1.000
88,-0.004,-0.012,0.992
89,-0.008,-0.023,1.000
90,-0.004,-0.020,0.992
91,-0.004,-0.012,0.996
92,-0.008,-0.012,0.996
93,-0.004,-0.012,0.992
94,0.000,-0.016,0.996
95,0.000,-0.016,0.992
96,-0.004,-0.023,0.969
97,0.027,-0.047,0.977
98,0.008,-0.031,0.996
99,0.020,-0.027,1.004
100,0.027,-0.027,0.996
101,0.047,-0.043,0.984
102,0.074,-0.039,0.992
103,0.102,-0.016,1.000
104,0.121,0.008,0.988
105,0.152,0.012,0.992
106,0.199,0.047,0.992
107,0.203,0.059,1.000
108,0.242,0.066,0.996
109,0.258,0.031,0.988
110,0.266,-0.062,0.988
111,0.309,-0.160,1.004
112,0.328,-0.105,1.059
113,0.391,0.012,1.023
114,0.422,0.027,0.910
115,0.332,0.004,0.887
116,0.305,-0.137,0.930
117,0.102,-0.148,1.070
118,0.078,0.055,1.246
119,0.293,0.102,1.086
120,0.402,0.117,0.879
121,0.184,0.121,0.879
122,0.395,-0.637,0.820
123,0.406,-0.344,1.117
124,0.141,0.680,1.379
125,0.461,0.219,0.660
126,0.250,-0.312,0.621
127,0.410,-0.031,1.105
128,-0.504,-0.184,1.195
129,0.301,0.039,1.270
130,-0.027,0.434,1.129
131,0.477,0.098,0.762
132,0.078,-0.160,0.746
133,0.469,-0.406,0.836
134,0.105,-0.184,1.172
135,0.172,0.480,1.371
136,0.039,0.129,0.992
137,0.500,-0.383,0.746
138,0.078,-0.191,0.879
139,0.320,-0.066,1.043
140,0.094,0.137,1.188
141,0.445,-0.051,0.945
142,0.148,-0.090,0.965
143,0.312,0.125,1.000
144,0.305,-0.141,0.871
145,0.387,-0.141,0.969
146,0.262,0.141,1.133
147,0.031,0.297,1.203
148,0.316,-0.090,0.812
149,0.312,-0.164,0.820
150,0.422,0.023,1.004
151,0.219,-0.059,1.055
152,0.250,0.121,1.160
153,0.160,0.008,0.961
154,0.418,-0.129,0.863
155,0.547,-0.188,0.887
156,0.430,-0.086,0.953
157,0.078,0.227,1.184
158,0.227,0.156,1.070
159,0.117,-0.344,0.828
160,0.285,-0.324,0.980
161,0.102,0.312,1.246
162,0.164,0.164,0.984
163,0.336,-0.047,0.871
164,0.137,-0.012,0.922
165,-0.062,-0.309,1.023
166,0.473,0.000,1.062
167,-0.051,0.211,1.070
168,0.637,0.031,0.887
169,-0.324,-0.016,0.930
