Sample,X,Y,Z
0,-0.059,0.297,1.000
1,-0.008,-0.023,0.992
2,-0.008,-0.023,0.996
3,-0.004,-0.020,0.996
4,-0.008,-0.004,0.988
5,-0.008,-0.008,0.992
6,-0.008,-0.012,0.988
7,-0.012,-0.008,0.988
8,-0.004,-0.008,0.984
9,-0.020,-0.016,0.992
10,-0.012,-0.008,0.992
11,-0.008,-0.012,0.992
12,-0.004,-0.016,0.992
13,-0.008,-0.020,0.992
14,0.000,-0.016,1.004
15,0.000,-0.023,1.004
16,-0.004,-0.016,1.004
17,0.000,-0.020,0.996
18,-0.004,-0.012,0.992
19,-0.008,-0.008,0.992
20,-0.008,-0.016,0.988
21,-0.004,-0.012,0.988
22,-0.012,-0.008,0.988
23,-0.016,-0.008,0.988
24,-0.023,-0.008,0.992
25,-0.035,-0.012,1.000
26,-0.008,-0.004,1.000
27,-0.020,-0.027,1.004
28,-0.008,-0.020,0.996
29,-0.004,-0.023,1.004
30,-0.008,-0.016,1.004
31,-0.004,-0.020,1.000
32,-0.004,-0.016,0.996
33,-0.004,-0.020,0.996
34,-0.008,-0.008,0.992
35,-0.008,-0.012,0.984
36,-0.008,-0.008,0.992
37,-0.004,-0.016,0.988
38,-0.008,-0.012,0.992
39,-0.008,-0.008,0.980
40,-0.012,-0.020,0.984
41,-0.004,-0.012,0.992
42,-0.012,-0.020,0.996
43,-0.008,-0.020,0.992
44,-0.008,-0.016,0.996
45,-0.008,-0.023,1.000
46,-0.012,-0.012,1.000
47,-0.008,-0.020,0.992
48,0.012,-0.012,0.996
49,-0.008,-0.020,1.008
50,-0.012,-0.016,0.992
51,-0.008,-0.008,0.992
52,-0.012,-0.008,0.980
53,-0.004,-0.008,0.988
54,-0.008,-0.012,0.980
55,-0.008,-0.008,0.992
56,-0.008,-0.012,0.996
57,-0.008,-0.012,0.996
58,-0.004,-0.020,0.992
59,-0.004,-0.016,1.008
60,0.000,-0.016,1.000
61,-0.008,-0.020,1.008
62,0.000,-0.023,0.996
63,-0.004,-0.016,1.008
64,-0.004,-0.016,1.004
65,-0.004,-0.012,0.996
66,-0.008,-0.012,0.984
67,-0.008,-0.012,0.992
68,-0.012,0.000,0.992
69,-0.012,-0.016,0.984
70,-0.004,-0.020,0.992
71,-0.008,-0.012,0.992
72,0.008,-0.016,1.020
73,0.008,-0.012,0.973
74,-0.004,-0.020,0.996
75,0.004,-0.020,1.000
76,-0.004,-0.020,1.000
77,-0.004,-0.016,1.008
78,-0.004,-0.023,0.988
79,-0.008,-0.012,0.996
80,-0.004,-0.012,0.992
81,-0.008,-0.016,0.988
82,-0.008,-0.008,0.984
83,-0.004,-0.008,0.973
84,-0.012,-0.012,0.984
85,-0.008,-0.012,0.992
86,-0.008,-0.012,0.992
87,-0.012,-0.012,0.996
88,-0.004,-0.012,1.008
